Entry,Compound,Shortest distance,Filtered,Number of atoms
1949767,FeGa3,2.36969,No,270
1720486,FeSi,2.31434,No,120
1838175,Pt3Sb,2.78988,No,332
452775,Pt2Ge3,2.47457,No,380
526976,Pd2Sn,2.65995,No,228
458516,CoSb2,2.53821,No,90
1231973,CoSi2,2.32051,No,278
1233802,Co2Si,2.31896,No,228
526962,Pd5Ga3,2.49801,No,312
1729688,FeSi,2.26888,No,120
261494,Fe0.67Ga0.33,2.59211,No,136
531952,Fe0.92Sn0.08,2.52878,No,60
533837,Fe3Ga,2.60455,No,113
1251507,FeSb2,2.57617,No,90
526584,Ni1.5Sn,2.36133,No,189
558700,Fe1.35Ge,2.30475,No,280
454890,Co0.9Sn0.1,2.52199,No,136
534816,Ni3Sb,2.61836,No,187
529847,Ni0.95In0.05,2.52295,No,120
1300774,Ir5Sn7,2.58555,No,390
455224,NiSi2,2.34086,No,278
1250624,IrSi3,1.97535,No,192
558701,Fe1.3Ge,2.30475,No,280
529846,Ni0.85Ga0.15,2.5173,No,120
261495,Fe3Ga,2.61629,No,113
1013000,Ni2In3,2.59979,No,127
1959005,RhGa,2.59183,No,62
529113,RuSi,2.51146,No,62
1945376,FeSi2,2.34585,No,81
1231972,CoSi,2.25885,No,120
526963,Pd5In3,2.58422,No,312
1956685,CoSb,2.5885,No,98
1233803,CoSi,2.26358,No,120
526977,Pd2In,2.63971,No,228
261683,Pd0.84Ge0.16,2.67168,No,60
452774,PtGe,2.42136,No,152
1821431,Pt0.5In0.5,2.79165,No,120
1804672,FeGe,2.49074,No,163
1720487,FeSi,2.31316,No,120
1720493,FeSi,2.30822,No,120
1937284,CoGa3,2.35981,No,270
1929904,Fe0.77Ga0.23,2.49241,No,60
1324358,RuSi,2.37597,No,120
1815810,Fe0.97Sb0.03,2.49995,No,60
1020019,Co5Ge7,2.37271,No,390
1720530,FeSi,2.27915,No,120
1251658,Fe13Ge3,2.49544,No,347
1720524,FeSi,2.28156,No,120
526803,FeSb2,2.58267,No,90
1126468,FeSn2,2.663,No,250
1301053,Rh3Si2,2.43893,No,127
1253701,CoSb,2.58149,No,98
1720518,FeSi,2.28243,No,120
1945772,FeSb2,2.56569,No,90
534552,Rh1.5Sn,2.50047,No,189
1231621,Ni1.69Sn,2.36075,No,189
1228370,Fe1.67Ge,2.30764,No,189
455806,FeGe,2.42909,No,254
1820698,Fe5Si3,2.2965,No,334
455423,Fe3Ge,2.59154,No,113
450215,Pt0.96Ge0.04,2.77185,No,120
1929482,Pd3In,2.7467,No,332
453091,Ni0.92Sn0.08,2.54558,No,120
1816114,CoGe2,2.44487,No,416
532447,CoGa,2.49068,No,62
250933,Pd0.83Sn0.17,2.78812,No,120
534750,Pd2In3,2.67363,No,127
527738,Co1.5Sn,2.36537,No,189
1048158,NiIn,2.62009,No,163
534752,Pd0.75In0.25,2.77658,No,60
529703,Fe0.9Ge0.1,2.49718,No,60
532451,CoGa,2.48981,No,62
1929480,Pd3In,2.77495,No,196
454930,Co0.92Ga0.08,2.51284,No,136
526418,Pd2Si,2.39208,No,206
533773,CoSi,2.26511,No,120
1142339,Ni3Sn,5e-05,Yes,313
1944644,Fe1.5Ge,2.30591,No,189
453093,Ni0.92Ge0.08,2.50315,No,120
454924,Fe0.8Si0.2,2.46643,No,60
1835056,Ni0.918Si0.082,2.48901,No,120
250058,OsSi2,2.32493,No,180
555347,CoSn2,2.725,No,250
1822516,Fe5Si3,2.35325,No,334
1961349,FeSn2,2.663,No,250
305059,FeSi2,2.3534,No,81
1941099,Fe0.83Ga0.17,2.51155,No,60
531428,Co2Ge,2.27762,No,189
1142113,PdGe,2.47516,No,152
455804,FeGe,2.4382,No,254
1817988,Ir0.988In0.012,2.7167,No,120
1520549,FeSi,2.25463,No,120
1942751,Fe0.725Ga0.275,2.53138,No,60
526829,CoSb,2.593,No,98
1301051,Rh5Si3,2.37005,No,312
1720532,FeSi,2.278,No,120
456458,CoSi,2.26175,No,120
526801,NiSb2,2.46543,No,90
1720526,FeSi,2.28123,No,120
251795,Ni2Ge,2.3266,No,228
526752,FeGe2,2.4785,No,250
1720485,FeSi,2.31572,No,120
383189,FeSn2,2.6575,No,250
1815769,NiIn,2.62149,No,163
1946325,Pt2Sn3,2.67595,No,261
450834,Ru2Ge3,2.45266,No,376
1720491,FeSi,2.31029,No,120
452776,PtGe2,2.23456,No,90
1838176,Pt3Sb2,2.57782,No,314
526949,PtGe2,2.4971,No,90
1231970,Co0.9Si0.1,2.49052,No,136
1956693,CoSb2,2.50784,No,180
458515,CoSb,2.58087,No,98
382903,CoGa,2.49241,No,62
533613,FeGe,2.32044,No,254
1200978,Ni1.35Sn,2.33833,No,208
450405,Pd0.85In0.15,2.78529,No,120
531951,Fe0.95Sb0.05,2.51146,No,60
534801,Fe3Sn,5e-05,Yes,313
529844,Ni0.82Si0.18,2.48406,No,120
534815,Ni0.92Sb0.08,2.53497,No,120
529845,Ni0.8Ge0.2,2.52083,No,120
1720137,FeSi,2.23987,No,120
529879,PdSb2,2.57377,No,180
261496,Fe0.8Ga0.2,2.51146,No,60
450410,Pt0.94Ga0.06,2.76903,No,120
1020422,CoSb2,2.54208,No,90
450404,Pd0.85Ga0.15,2.74145,No,120
1410702,FeSb2,2.56955,No,90
1200979,Ni1.35Sn,2.32739,No,208
554689,Ni3Sn2,2.44372,No,348
1009715,Fe0.9Si0.1,2.47509,No,60
1943076,PdSn,2.55656,No,152
1233425,Pd0.91Sn0.09,2.77115,No,120
1630126,Fe0.93Si0.07,2.48081,No,60
1231971,Co2Si,2.31041,No,228
526948,CoGe,2.33993,No,254
251025,Co2Ge,2.36918,No,228
261680,Ni0.85Sn0.15,2.57386,No,120
1838177,PtSb,2.7415,No,98
1946324,PtSn,2.72035,No,98
381953,Fe3Si,2.44478,No,466
1714053,NiSb,2.555,No,98
1720490,FeSi,2.31044,No,120
555795,OsSi,2.40712,No,120
1715359,NiSb,2.57,No,98
383188,FeSn2,2.6575,No,250
251794,Ni1.5Ge,2.23028,No,189
1710209,NiSb,2.574,No,98
452978,NiSb2,2.54271,No,90
1720527,FeSi,2.28124,No,120
526814,NiSb2,2.55349,No,90
1720533,FeSi,2.27849,No,120
526828,NiSb,2.569,No,98
1301050,Rh2Si,2.42126,No,228
1720269,Pd1.74Sn,2.54337,No,189
557784,Fe5Si3,2.35263,No,334
260367,PdSn4,2.75354,No,300
452830,FeSb2,2.57461,No,90
1520548,FeSi,2.25743,No,120
455805,FeGe,2.43519,No,254
1228367,FeGe2,2.474,No,250
533558,Fe0.933Si0.067,2.47838,No,60
1822517,Ni2Si,2.21595,No,228
250059,IrSi3,1.97489,No,192
452367,Co3Sn2,2.44059,No,348
450216,Pt0.94Sn0.06,2.786,No,120
454925,Fe0.85Ge0.15,2.51146,No,60
453092,Ni0.96In0.04,2.52154,No,120
1944645,FeGe2,2.4785,No,250
555391,Fe3Si,2.44781,No,466
1929481,Pd3In,2.75308,No,332
1253299,Ni1.78Ge,2.273,No,189
532450,NiGa,2.5054,No,62
534747,Pt2Ga3,2.44541,No,127
1813053,Co0.89Si0.11,2.4923,No,136
531175,FeSb2,2.57725,No,90
1908311,Ni0.9Sb0.1,2.52719,No,120
534757,Ni3In,5e-05,Yes,313
558699,Fe1.79Ge1.11,2.30475,No,280
250934,Pd3Sn,2.81287,No,113
530525,Pt2Si3,2.20594,No,261
526421,Ni2Si,2.30307,No,228
455424,Fe3Ge,5e-05,Yes,313
250061,Ir1.4Si,2.28801,No,189
311767,Ni1.5Sn,2.34979,No,189
453069,Ni3Ga,2.53214,No,113
527924,Ni0.88Ge0.12,2.5074,No,120
450206,Pd0.85Sn0.15,2.78387,No,120
452820,Ir4Si5,2.29937,No,342
1500688,RhSi,2.56602,No,62
1810006,FeSb,2.5699,No,98
1927696,Fe0.92Sn0.08,2.53052,No,60
251182,Pd2Sb,2.50457,No,360
1720537,FeSi,2.27829,No,120
457743,Ni3In,2.65165,No,113
1714686,IrGe4,2.47978,No,225
1720523,FeSi,2.28179,No,120
1929650,CoSn2,2.20394,No,63
1815803,FeSb2,2.58384,No,90
1301054,RhSi,2.37514,No,152
1942973,Fe0.83Ga0.17,2.51146,No,60
532695,RuSn2,2.7781,No,250
1960495,Fe3Sn,5e-05,Yes,313
1815778,Fe1.34Sb,2.38194,No,189
555791,Ru5Si3,2.30182,No,312
1720494,FeSi,2.30699,No,120
555785,Ru2Si,2.43018,No,228
1007502,IrSb,2.67952,No,98
1013211,NiSb,2.5698,No,98
450831,Ru2Sn3,2.59115,No,376
1602147,Pd2Sn,2.59542,No,228
453337,Co3Sn2,2.45952,No,348
526970,RhGa3,2.45995,No,270
1233810,FeSi,2.28476,No,120
1125984,CoSb,2.61425,No,98
1224388,Rh2Si,2.41981,No,228
450399,Ni3Sb,2.55735,No,187
1232065,IrGe4,2.49304,No,286
1960697,Ni1.5Sn,2.3764,No,189
262170,Ni1.78Ga,2.30475,No,189
1503785,RuSb2,2.6169,No,90
1815220,Fe0.8Si0.2,2.45691,No,60
1962902,Co1.5Sn,2.37692,No,189
1907624,NiSb2,2.53254,No,360
1957952,FeSi,2.28343,No,120
1340356,CoSn2,2.729,No,250
529869,Pt3Sn,2.84115,No,113
558048,Fe0.8Ga0.2,2.51579,No,60
1020432,RuSb2,2.62769,No,90
450400,Pt3In,2.82277,No,113
1200982,Ni2.94Sn2,2.48348,No,348
452202,Ni0.15Sb0.85,3.03,No,30
1200983,Ni2.94Sn2,2.48117,No,348
558049,Fe3Ga,2.59861,No,113
1502317,Ni2Si,2.19679,No,189
529868,Pd3Sn,2.80509,No,113
1100907,FeSb2,2.5866,No,90
1251528,RhSi,2.3777,No,120
1009710,FeSi,2.28292,No,120
1250811,CoSb2,2.50807,No,180
1962903,CoSn,2.62979,No,163
529115,RuSi,2.39236,No,120
532253,RuGa2,2.55569,No,360
262165,Ni2Ga3,2.37997,No,127
1100708,Ni2Si,2.31646,No,228
1009738,Fe3Si,2.44824,No,466
1819427,Fe0.75Ge0.25,2.51493,No,60
1224389,Rh5Si3,2.36978,No,312
1930248,Ni3Sn,5e-05,Yes,313
526971,RhIn3,2.66952,No,270
251008,Pt2Ga,2.54877,No,490
1726999,CoGa3,2.36109,No,270
453336,Co1.5Sn,2.3723,No,189
1822116,Fe0.805Ga0.195,2.51268,No,60
1929731,Pt0.50Sn0.50,2.80933,No,120
526756,Fe3Ge,2.52719,No,113
1937282,CoSi2,2.32094,No,278
1617211,Fe0.85Si2.07,2.35373,No,96
532737,IrGa,2.60153,No,62
1720495,FeSi,2.30749,No,120
307299,FeGe2,2.47,No,250
1602146,Pd2Sn,2.62901,No,228
526839,CoSb2,2.47817,No,180
1301055,RhSi,2.38473,No,120
1720522,FeSi,2.28173,No,120
453530,NiSb,2.569,No,98
1251138,FeSi,2.28294,No,120
1932517,Fe0.8Ga0.2,2.48618,No,60
526811,RuSb2,2.61843,No,90
1932265,NiSb,2.56855,No,98
1720536,FeSi,2.27775,No,120
1142117,PtGe2,2.23504,No,90
261732,NiSi,2.21682,No,152
1430762,Fe1.67Ge,0.22504,Yes,264
1810007,FeSb2,2.57583,No,90
452821,IrSi,2.41271,No,152
1100697,FeSi,2.28262,No,120
527925,Fe3Ge,2.57583,No,202
1301531,CoSn3,2.69487,No,480
1251474,Pt3Sb2,2.59165,No,314
455425,FeGe,2.49011,No,163
250060,RuSi,2.39389,No,120
260809,OsSi2,2.28853,No,180
455431,Fe3Ge,2.58801,No,113
526420,IrSi,2.41282,No,152
1227535,Fe5Si3,2.34328,No,334
558698,Fe1.45Ge,2.30475,No,280
534756,NiIn,2.67601,No,62
533775,FeSi,2.28038,No,120
1939681,FeSi,2.27084,No,120
454922,Fe0.8Ga0.2,2.51753,No,60
526422,Rh2Si,2.42127,No,228
530526,RhSi,2.37694,No,152
534754,Ni2In3,2.5194,No,127
1816138,PtSn4,2.75896,No,336
250937,Pt3In2,2.74118,No,397
1908312,Ni5Sb2,2.55302,No,420
527927,Fe2Ge,2.31514,No,189
1050908,Pt3Sn,2.82001,No,113
533952,RhIn,2.76261,No,62
450205,Pd0.91Ge0.09,2.74569,No,120
1929479,Pd3In,2.74189,No,332
534797,Fe3Si,2.44391,No,466
311764,Ni3Sn,5e-05,Yes,313
1820449,PtSb2,2.56354,No,180
261297,Pd5In3,2.58422,No,312
1642428,Ni1.33Ge,2.22537,No,189
532133,Pd3Sn,2.80792,No,113
1927695,FeSn2,2.6595,No,250
1142115,PtSi,2.36066,No,152
1820688,Fe5Si3,2.32513,No,334
310650,Ni3.064Si0.936,2.4813,No,128
1720520,FeSi,2.28249,No,120
1720534,FeSi,2.2793,No,120
383038,FeSi,2.28292,No,120
456476,FeSi2,2.35652,No,81
533588,Co1.5Sn,2.39309,No,189
1252369,FeSi,2.28801,No,120
1720508,FeSi,2.29677,No,120
1301057,Rh4Si5,2.29852,No,342
1720497,FeSi,2.30579,No,120
452957,NiSi,2.25849,No,120
532709,RuIn3,2.67401,No,270
526998,Ir3Si,2.41261,No,396
526973,IrGa3,2.45108,No,270
526967,FeGa3,2.3899,No,270
1500072,RhSn4,2.70121,No,286
528976,Ni3Sn4,2.51781,No,210
1500066,RuGe,2.46668,No,120
261308,RhGa3,2.45978,No,270
529881,PdSb,2.73672,No,98
1819431,FeGe2,2.476,No,250
262167,NiGa,2.48808,No,62
1503786,OsSb2,2.6266,No,90
1009712,Fe5Si3,2.35,No,334
530452,Fe3Si,2.44651,No,466
1824798,Pd2Sb,2.51203,No,360
375427,Ni2Si,2.30666,No,228
1340355,CoSn,2.62012,No,163
1253301,Ni1.38Ge,2.22104,No,189
1822458,Co0.1Ge0.9,2.4498,No,436
1200981,Ni3Sn2,2.50294,No,348
1833541,FeSi,2.28333,No,120
1831343,PdIn,2.80808,No,62
1822459,Fe0.1Ge0.9,2.4498,No,436
1253300,Ni1.50Ge,2.23085,No,189
452201,Pd0.165Sb0.835,2.995,No,30
1200980,Ni3Sn2,2.0908,No,424
1031267,RuIn3,2.64635,No,270
251209,PtSn2,2.7856,No,278
1340354,Co1.5Sn,2.35556,No,189
1824799,PdSb,2.73672,No,98
1233423,Pd0.9In0.1,2.77327,No,120
1819430,Fe1.5Ge,2.30302,No,189
261309,OsGa3,2.48091,No,270
455591,CoGe,2.33994,No,254
1500073,IrSn4,2.70537,No,286
526796,RuSb2,2.6363,No,90
526972,OsGa3,2.48091,No,270
526999,RhSi,2.37064,No,152
526755,Fe2Ge,2.30822,No,189
452956,Co2Si,2.31413,No,228
528988,Ni3Sb,2.58075,No,466
1960497,Fe1.6Sn,2.34494,No,224
381955,Fe1.5Ge,0.05253,Yes,307
1720496,FeSi,2.30861,No,120
1720509,FeSi,2.29562,No,120
1253704,FeSb,2.565,No,98
1301056,RhSi,2.29513,No,120
381606,FeSn,2.64499,No,163
1720535,FeSi,2.27844,No,120
314423,FeSn,2.64399,No,163
1720521,FeSi,2.28185,No,120
1252354,Pd0.88Sn2,2.77134,No,360
529506,Fe3Si,2.44651,No,466
1820689,Fe5Si3,2.33434,No,334
1142114,PdSi,2.41166,No,152
261731,PdSi,2.41168,No,152
1430761,Fe1.67Ge,0.41839,Yes,264
1927694,FeSn,2.64849,No,163
455803,FeGe,2.42712,No,254
452822,IrSi3,1.97662,No,192
1820448,PtSb,2.743,No,98
1929478,Pd3In,2.76199,No,332
450210,Pt3Sn,2.82842,No,113
533953,RhGa,2.60352,No,62
527926,Ni3Ge,2.52154,No,113
1927441,Fe0.75Si0.25,2.4705,No,60
455432,Fe3Ge,5e-05,Yes,313
534755,NiIn,2.26999,No,163
1250972,Rh4Si5,2.29621,No,342
1908313,NiSb,2.6,No,98
454937,Ni0.92In0.08,2.54417,No,120
1606055,Fe3Ge,2.58017,No,202
454923,Fe0.6Ga0.4,2.5028,No,60
1235668,FeGa3,2.36218,No,270
453094,Ni0.92Ga0.08,2.50527,No,120
534764,PtGa,2.49416,No,120
1501943,FeSb2,2.58154,No,90
1620921,PdSn,2.65033,No,152
558696,Fe1.6Ge,2.30879,No,280
454906,Fe2.8Ga1.2,2.60427,No,211
1819575,NiSb,2.5715,No,98
525641,Co1.5Ge,2.28859,No,189
1013154,PtSn4,2.75624,No,336
452436,Fe5Si3,2.35822,No,334
382882,Fe3Ge,5e-05,Yes,313
452344,Pt3Si,2.43829,No,268
453072,Ni3Ge,2.52437,No,113
529912,Fe3Ga,5e-05,Yes,313
1050904,PtSn,2.71899,No,98
1100699,Fe5Si3,2.35319,No,334
1520543,FeSi,2.28966,No,120
452813,PdSi,2.44852,No,152
1824384,CoSb,2.59372,No,98
1927841,Fe0.865Si0.135,2.47613,No,60
261728,Co2Ge,2.25972,No,189
1820690,Fe5Si3,2.3475,No,334
1720538,FeSi,2.27858,No,120
557980,CoSi,2.26256,No,120
378292,CoSi,2.26256,No,120
547239,Ni3Ge,2.52437,No,113
1720504,FeSi,2.29886,No,120
1642395,NiGe,2.30003,No,152
530099,RhSb2,2.56798,No,180
547211,FeSi2,2.35558,No,81
1720276,PtSb,2.7426,No,98
526837,IrSb2,2.53686,No,180
1720510,FeSi,2.29426,No,120
1602148,Pd2Sn,2.46776,No,228
1815763,NiSb2,2.5824,No,90
555952,Ni1.5Sn,2.35671,No,189
526994,Pt2Si,2.45937,No,152
532739,RuGa,2.60673,No,62
1125948,PdGa,2.53983,No,120
1949020,NiSi,2.28012,No,152
458286,PtSb,2.736,No,98
526980,Rh2Sn,2.6343,No,228
452740,FeGe,2.4893,No,163
1412320,NiSi,2.21747,No,152
554325,Fe1.95Ge,2.33477,No,189
1726997,FeGa3,2.36942,No,270
251006,Ni5Ga3,2.48272,No,333
1224393,Rh4Si5,2.29654,No,342
261853,Ni3Si,2.4784,No,113
1924227,NiSb2,2.54351,No,360
458245,PtIn2,2.75092,No,278
450619,Co1.5Sn,2.37461,No,189
1951445,PtSb2,2.56354,No,180
261310,RuGa3,2.47403,No,270
1819429,Fe3Ge,2.60003,No,113
532507,Ni3Ge,2.53144,No,113
1250823,CoGe,2.33993,No,254
261304,Rh2Sn,2.56034,No,228
1906509,PdSn4,2.78059,No,336
533625,Fe1.5Sn0.5,2.58854,No,109
1144178,FeSi,2.28191,No,120
527644,RuSb2,2.62756,No,90
1410735,NiGe2,2.48224,No,416
1212379,Pd2In,2.6504,No,228
1933565,Fe0.85Ga0.15,2.51779,No,60
1251254,Co2Si,2.16678,No,228
1410053,FeGa3,2.36464,No,270
251210,Pt2Sn3,2.67537,No,261
1120401,IrIn3,2.53025,No,272
1100909,NiSb2,2.46371,No,90
1946850,NiSi,2.29574,No,96
450427,Ir5Sn7,2.57154,No,390
534837,Pt5.33In2.67,2.69249,No,451
1722717,CoGe,2.35724,No,120
1300740,IrSn2,2.74442,No,278
534836,Pt3In2,2.74118,No,397
1720673,Co0.83Sn5,2.69386,No,230
529867,PtSn,2.718,No,98
1946851,NiSi,2.27779,No,152
1100908,CoSb2,2.51139,No,90
454898,FeSn,2.65349,No,163
454640,CoGa,2.49414,No,62
450426,IrSn,2.69464,No,98
251211,PtSn,2.72025,No,98
1121939,Rh2Ga9,2.45903,No,330
527645,OsSb2,2.63926,No,90
1144179,CoSi,2.26205,No,120
533624,Co1.5Sn0.5,2.54524,No,109
1815206,Fe1.173Sb,2.36075,No,189
261305,IrIn3,2.67287,No,270
1955636,Fe5Si3,2.31177,No,334
1906508,PdSn3,2.7879,No,480
1610983,FeSb2,2.58154,No,90
455589,CoGe,2.35724,No,120
1951444,PtSb,2.7415,No,98
532506,Fe3Ge,2.59508,No,113
1819428,Fe3Ge,5e-05,Yes,313
1100707,NiSi,2.21215,No,152
261311,FeGa3,2.3899,No,270
450618,Ni1.84Ga,2.31053,No,189
458244,PtGa2,2.55953,No,278
1407710,Co0.985Sn0.015,2.51185,No,120
1224392,RhSi,2.3833,No,120
261852,Ni3Si,1.95431,No,272
1837266,CoSi,2.29872,No,120
251007,Pt5.5In2.5,2.79526,No,377
452741,FeGe,2.32423,No,254
554324,Fe1.55Ge,2.30244,No,280
1949021,PdSi,2.45059,No,152
526995,Pt2Si,2.42921,No,206
1815762,FeSb2,2.58339,No,90
532710,Ru3In,6e-05,Yes,313
528984,Ni3Sb,2.53207,No,187
1720511,FeSi,2.29326,No,120
1820120,Ni3.12Si0.88,2.47628,No,128
1642394,Ni3Ge,2.52564,No,113
1720505,FeSi,2.29757,No,120
1010851,Fe3Sn,5e-05,Yes,313
1720539,FeSi,2.27778,No,120
1251645,Ni2In,2.41156,No,189
557981,FeSi,2.28343,No,120
383035,CoSi,2.26307,No,120
1820691,Fe5Si3,2.348,No,334
261729,Ni2Ge,2.25741,No,189
458495,Fe0.95Si0.05,2.47371,No,60
1824385,NiSb,2.5713,No,98
452812,Ir2Ga9,2.49118,No,330
1142118,Pd2Si,2.39082,No,206
1231628,Ni0.95Sb,2.576,No,98
261073,FeGe2,2.443,No,250
1933809,Ni3Ga,2.54558,No,113
1948263,Pt3In,2.81994,No,113
250053,RuSi,2.51926,No,62
1100698,Fe0.8Si2,2.35148,No,81
450208,Pd3Sn,2.81145,No,113
1634000,CoSb2,2.33423,No,90
1050911,Pt0.92Sn0.08,2.8164,No,120
529913,Fe3Ga,2.61629,No,113
452345,Pt2Si,2.4597,No,152
531812,CoSn2,2.726,No,250
1819574,Ni5Sb2,2.55603,No,420
454913,Co1.16Ga0.84,2.49068,No,109
1013155,Pt2Sn3,2.67654,No,261
525640,Fe1.5Ge,2.31514,No,189
1009119,Co2Si,2.3286,No,228
534759,Ni2Ga3,2.38143,No,127
558697,Fe1.5Ge,2.30475,No,280
1928971,NiSi,2.21336,No,152
1235666,FeGa3,2.35994,No,270
1251486,RhSn2,1.61532,No,452
1822286,FeSi,2.28247,No,120
558695,Fe1.7Ge,2.31803,No,189
1928973,NiGe,2.29954,No,152
1248666,Pt3Sn,2.82913,No,113
531810,Co1.5Sn,2.45833,No,189
260810,OsSi,2.40356,No,120
558642,Ni1.67Ge,2.2424,No,189
527928,Ni2Ge,2.27935,No,189
261298,Pd5Ga3,2.48663,No,312
534798,Ni3Ge,2.52437,No,113
453071,Ni3Si,2.48053,No,113
1929476,Pd3In,2.76385,No,332
1942994,FeGe,2.48829,No,163
531353,CoSb1.95,2.50731,No,90
1310182,Fe5Si3,2.35822,No,334
1820693,Fe5Si3,2.30841,No,334
532128,Ni2In,2.41843,No,189
1640542,Ni0.92Si0.08,2.4883,No,120
378291,FeSi,2.27987,No,120
526808,OsSb2,2.62836,No,90
454252,Pd0.82Si0.18,2.75842,No,120
526834,RhSb2,2.53374,No,180
1720513,FeSi,2.29117,No,120
1252400,PdGa5,2.4975,No,486
1720507,FeSi,2.29631,No,120
1720498,FeSi,2.30411,No,120
555951,Ni1.5Sn,2.36711,No,189
555789,RuSi,2.51926,No,62
1815760,Ni1.17Sb,2.3137,No,189
261677,Co3Si,5e-05,Yes,313
1815774,FeSb2,2.58072,No,90
1948473,CoSi,2.26139,No,120
1717208,FeSb2,2.57502,No,90
1949023,PdGe,2.51681,No,152
1324353,Ru2Sn3,2.56564,No,376
526997,Ir2Si,2.47847,No,228
1832491,RuIn3,2.6465,No,270
554326,Fe1.7Ge,2.32207,No,189
1412323,Ni2Si,2.31612,No,228
526968,CoGa3,2.39372,No,270
1924224,NiSb2,2.5358,No,90
1407712,Rh0.91Sn0.09,2.71861,No,120
454859,NiSb,2.56755,No,98
262168,Ni0.67Ga0.33,2.52335,No,60
261307,RhIn3,2.66952,No,270
1100711,Ni3Si,2.4818,No,113
1100705,NiSi2,2.33956,No,278
532504,Fe3Si,2.44218,No,466
1009053,Ni1.5Sn,2.37288,No,189
1947224,Ni3In,4e-05,Yes,313
533632,Fe1.22Sb,2.36711,No,189
1250808,Pt6Si5,2.21942,No,418
1946853,Ni1.06Si0.94,2.28706,No,120
1831365,Ni5Sb2,2.5568,No,420
1933566,Fe3Ga,2.53762,No,466
527684,FeSb2,2.60697,No,90
558050,Fe3Ga,2.5145,No,466
527848,Ru2Si,2.44755,No,228
534835,Pt2In3,2.74121,No,127
251212,Pt3Sn,2.82878,No,113
456726,Fe2Ge,2.34286,No,189
1831364,Ni3Sb,2.53351,No,187
1031268,IrIn3,2.64445,No,270
1943080,Pd0.84Sn0.16,2.80834,No,120
1933567,Fe1.4Ga0.6,2.54394,No,109
531965,Fe0.93Sn0.07,2.52878,No,60
1946852,NiSi,2.27821,No,152
375429,Fe0.67Si0.33,2.43352,No,60
1229474,FeSi2,2.35012,No,81
533633,Fe1.68Sn,2.44216,No,189
532505,Fe3Ge,2.49414,No,466
1100704,Co2Si,2.31555,No,228
1009052,NiSb,2.5685,No,98
262169,Ni0.7Ga0.3,2.53922,No,120
454680,Fe1.67Ge,2.32092,No,189
261306,IrGa3,2.45108,No,270
1224391,RhSi,2.37666,No,152
526799,OsSb2,2.64026,No,90
1930244,Ni3Sn4,2.54189,No,210
526969,RuGa3,2.47403,No,270
452742,FeGe2,2.47745,No,250
1837265,FeSi,2.30462,No,120
1940774,CoSb2,2.49968,No,180
526996,Ir1.5Si,2.28801,No,189
1931833,Pd2Ga,2.53117,No,228
1717209,FeSb2,2.57347,No,90
1949022,PtSi,2.39797,No,152
1234633,Fe1.7Ge,2.31745,No,189
1715350,FeSb,2.565,No,98
528987,Ni3Sn,2.58941,No,466
555788,RuSi,2.39389,No,120
555950,NiSn,2.575,No,98
1720499,FeSi,2.30348,No,120
1243487,FeSi,2.28374,No,120
555171,CoGa,2.49155,No,62
1301059,Rh0.977Si0.023,2.68488,No,120
1720506,FeSi,2.29801,No,120
1720512,FeSi,2.29229,No,120
1720274,PtSn,2.71895,No,98
1727533,RuGa3,2.4489,No,270
1234960,FeSn2,2.6665,No,250
1810023,Rh3Ga5,2.4313,No,240
1824386,NiSb2,2.52867,No,90
452811,Rh2Ga9,2.48845,No,330
1211289,NiGe,2.29085,No,152
1801884,Ni1.63Sn,2.39597,No,189
1820692,Fe5Si3,2.33712,No,334
314389,Fe5Si3,2.34388,No,334
1942995,FeGe2,2.4775,No,250
1251478,Co5Ge7,2.37701,No,390
1929477,Pd3In,2.77394,No,196
534799,Ni3Si,2.50315,No,113
527929,Co2Ge,2.28801,No,189
531811,CoSn,2.61801,No,163
1500336,FeSi,2.29367,No,120
1816136,Ni2Si,2.19679,No,189
454904,Fe3Si,2.45171,No,466
558694,Fe1.75Ge,2.33189,No,189
1013156,PtSn,2.7185,No,98
453919,Ni3Sn,5e-05,Yes,313
454938,Ni0.92Sn0.08,2.54629,No,120
1235667,FeGa3,2.36872,No,270
452385,Co0.75Sn0.25,2.53121,No,60
453925,Fe3Si,2.44868,No,466
1928976,NiGe,2.32303,No,152
454900,Co2Sn,2.37634,No,189
532449,CoSb,2.5875,No,98
1002705,Co2Si,2.29582,No,228
1142335,Ni3Sn2,2.4527,No,348
534762,Ni0.72Ga0.28,2.53851,No,120
1023907,PdSb2,2.66573,No,180
1050902,PtSn2,2.78166,No,278
1633998,CoSb2,2.51429,No,180
455439,Co1.67Ge,2.2424,No,189
453048,Pd0.08Sn0.92,2.979,No,30
1952214,Fe0.95Si0.05,2.48081,No,60
1820696,Fe5Si3,2.3157,No,334
1640547,NiSi,2.21475,No,152
261074,FeGe,2.52512,No,163
1520545,FeSi,2.27219,No,120
452829,NiSb2,2.54251,No,90
1252388,PtSn4,2.78467,No,336
1948264,PtIn2,2.75568,No,278
1720516,FeSi,2.28835,No,120
1720502,FeSi,2.30044,No,120
314414,Fe1.67Sn,2.42657,No,189
1962300,FeGe,2.48351,No,163
1838026,PdIn,2.81717,No,62
1815759,Fe1.17Sb,2.36491,No,189
1234637,FeGe,2.4921,No,163
1949026,Pd2Si,2.38658,No,206
1324356,RuSi,2.5177,No,62
526992,RhIn,2.77127,No,62
1710210,Ni3Sb,2.55942,No,187
